Gene Group 1	Enrichment Score: 26.032347130331825
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000005142	mannosidase 2, alpha B1(Man2b1)
ENSMUSG00000021665	hexosaminidase B(Hexb)
ENSMUSG00000015027	galactosamine (N-acetyl)-6-sulfate sulfatase(Galns)
ENSMUSG00000025534	glucuronidase, beta(Gusb)

Gene Group 12	Enrichment Score: 8.508432847584695
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000072647	a disintegrin and metallopeptidase domain 1a(Adam1a)
ENSMUSG00000036545	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2(Adamts2)
ENSMUSG00000026548	SLAM family member 9(Slamf9)
ENSMUSG00000049723	matrix metallopeptidase 12(Mmp12)
ENSMUSG00000011256	a disintegrin and metallopeptidase domain 19 (meltrin beta)(Adam19)
ENSMUSG00000025355	matrix metallopeptidase 19(Mmp19)
ENSMUSG00000017737	matrix metallopeptidase 9(Mmp9)
ENSMUSG00000022893	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1(Adamts1)
ENSMUSG00000025473	a disintegrin and metallopeptidase domain 8(Adam8)
ENSMUSG00000031790	matrix metallopeptidase 15(Mmp15)

Gene Group 13	Enrichment Score: 7.653713038023518
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000030339	lymphotoxin B receptor(Ltbr)
ENSMUSG00000028599	tumor necrosis factor receptor superfamily, member 1b(Tnfrsf1b)
ENSMUSG00000030341	tumor necrosis factor receptor superfamily, member 1a(Tnfrsf1a)
ENSMUSG00000000120	nerve growth factor receptor (TNFR superfamily, member 16)(Ngfr)
ENSMUSG00000024778	Fas (TNF receptor superfamily member 6)(Fas)

Gene Group 14	Enrichment Score: 7.338890770406109
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000026043	collagen, type III, alpha 1(Col3a1)
ENSMUSG00000028197	collagen, type XXIV, alpha 1(Col24a1)
ENSMUSG00000022483	collagen, type II, alpha 1(Col2a1)
ENSMUSG00000001506	collagen, type I, alpha 1(Col1a1)
ENSMUSG00000004098	collagen, type V, alpha 3(Col5a3)

Gene Group 15	Enrichment Score: 7.337930583421671
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000018927	chemokine (C-C motif) ligand 6(Ccl6)
ENSMUSG00000000982	chemokine (C-C motif) ligand 3(Ccl3)
ENSMUSG00000034855	chemokine (C-X-C motif) ligand 10(Cxcl10)
ENSMUSG00000019122	chemokine (C-C motif) ligand 9(Ccl9)

Gene Group 16	Enrichment Score: 7.296236468782124
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000030789	integrin alpha X(Itgax)
ENSMUSG00000030786	integrin alpha M(Itgam)
ENSMUSG00000022817	integrin beta 5(Itgb5)
ENSMUSG00000000290	integrin beta 2(Itgb2)
ENSMUSG00000000555	integrin alpha 5 (fibronectin receptor alpha)(Itga5)

Gene Group 17	Enrichment Score: 7.134583944816617
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000026896	interferon induced with helicase C domain 1(Ifih1)
ENSMUSG00000029561	2'-5' oligoadenylate synthetase-like 2(Oasl2)
ENSMUSG00000029605	2'-5' oligoadenylate synthetase 1B(Oas1b)
ENSMUSG00000052776	2'-5' oligoadenylate synthetase 1A(Oas1a)

Gene Group 18	Enrichment Score: 5.94252903782095
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000050370	cholesterol 25-hydroxylase(Ch25h)
ENSMUSG00000056666	retinol saturase (all trans retinol 13,14 reductase)(Retsat)
ENSMUSG00000024292	cytochrome P450, family 4, subfamily f, polypeptide 14(Cyp4f14)
ENSMUSG00000063415	cytochrome P450, family 26, subfamily b, polypeptide 1(Cyp26b1)
ENSMUSG00000021670	3-hydroxy-3-methylglutaryl-Coenzyme A reductase(Hmgcr)
ENSMUSG00000024799	transmembrane 7 superfamily member 2(Tm7sf2)
ENSMUSG00000059743	farnesyl diphosphate synthetase(Fdps)
ENSMUSG00000033579	fatty acid 2-hydroxylase(Fa2h)
ENSMUSG00000034926	24-dehydrocholesterol reductase(Dhcr24)
ENSMUSG00000015224	cytochrome P450, family 2, subfamily j, polypeptide 9(Cyp2j9)
ENSMUSG00000079057	cytochrome P450, family 4, subfamily v, polypeptide 3(Cyp4v3)
ENSMUSG00000033105	lanosterol synthase(Lss)
ENSMUSG00000006517	mevalonate (diphospho) decarboxylase(Mvd)
ENSMUSG00000040170	flavin containing monooxygenase 2(Fmo2)
ENSMUSG00000075217	RIKEN cDNA 4833423E24 gene(4833423E24Rik)
ENSMUSG00000058454	7-dehydrocholesterol reductase(Dhcr7)
ENSMUSG00000032018	sterol-C5-desaturase(Sc5d)
ENSMUSG00000031604	methylsterol monoxygenase 1(Msmo1)
ENSMUSG00000039519	cytochrome P450, family 7, subfamily b, polypeptide 1(Cyp7b1)
ENSMUSG00000001467	cytochrome P450, family 51(Cyp51)
ENSMUSG00000029925	thromboxane A synthase 1, platelet(Tbxas1)
ENSMUSG00000031349	NAD(P) dependent steroid dehydrogenase-like(Nsdhl)
ENSMUSG00000048065	cytochrome b5 reductase 2(Cyb5r2)
ENSMUSG00000061740	cytochrome P450, family 2, subfamily d, polypeptide 22(Cyp2d22)
ENSMUSG00000022351	squalene epoxidase(Sqle)

Gene Group 19	Enrichment Score: 5.262679298445744
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000031604	methylsterol monoxygenase 1(Msmo1)
ENSMUSG00000021696	ELOVL family member 7, elongation of long chain fatty acids (yeast)(Elovl7)
ENSMUSG00000075217	RIKEN cDNA 4833423E24 gene(4833423E24Rik)
ENSMUSG00000043461	serine palmitoyltransferase, small subunit B(Sptssb)
ENSMUSG00000035376	3-hydroxyacyl-CoA dehydratase 2(Hacd2)
ENSMUSG00000041220	ELOVL family member 6, elongation of long chain fatty acids (yeast)(Elovl6)
ENSMUSG00000033579	fatty acid 2-hydroxylase(Fa2h)
ENSMUSG00000028497	3-hydroxyacyl-CoA dehydratase 4(Hacd4)
ENSMUSG00000029925	thromboxane A synthase 1, platelet(Tbxas1)

Gene Group 20	Enrichment Score: 4.499619763492273
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000034595	protein phosphatase 1, regulatory subunit 18(Ppp1r18)
ENSMUSG00000001864	allograft inflammatory factor 1-like(Aif1l)
ENSMUSG00000026786	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein(Apbb1ip)
ENSMUSG00000031827	coactosin-like 1 (Dictyostelium)(Cotl1)
ENSMUSG00000020672	syntrophin, gamma 2(Sntg2)
ENSMUSG00000022439	parvin, gamma(Parvg)

Gene Group 21	Enrichment Score: 4.490298760731519
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000042826	fibroblast growth factor 11(Fgf11)
ENSMUSG00000037225	fibroblast growth factor 2(Fgf2)
ENSMUSG00000057967	fibroblast growth factor 18(Fgf18)
ENSMUSG00000021974	fibroblast growth factor 9(Fgf9)

Gene Group 22	Enrichment Score: 4.022212999785801
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000027907	S100 calcium binding protein A11(S100a11)
ENSMUSG00000001864	allograft inflammatory factor 1-like(Aif1l)
ENSMUSG00000074364	EH-domain containing 2(Ehd2)
ENSMUSG00000044080	S100 calcium binding protein A1(S100a1)
ENSMUSG00000060371	calneuron 1(Caln1)
ENSMUSG00000001025	S100 calcium binding protein A6 (calcyclin)(S100a6)
ENSMUSG00000045031	centrin 4(Cetn4)

Gene Group 23	Enrichment Score: 3.662340419612126
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000034209	RAS-like, family 10, member A(Rasl10a)
ENSMUSG00000054072	interferon inducible GTPase 1(Iigp1)
ENSMUSG00000000386	MX dynamin-like GTPase 1(Mx1)
ENSMUSG00000046768	ras homolog family member J(Rhoj)
ENSMUSG00000028270	guanylate binding protein 2(Gbp2)
ENSMUSG00000029641	RAS-like, family 11, member A(Rasl11a)
ENSMUSG00000031880	Ras-related associated with diabetes(Rrad)
ENSMUSG00000043157	ADP-ribosylation factor-like 11(Arl11)
ENSMUSG00000047986	paralemmin 3(Palm3)
ENSMUSG00000026433	RAB29, member RAS oncogene family(Rab29)
ENSMUSG00000040253	guanylate binding protein 7(Gbp7)
ENSMUSG00000019832	RAB32, member RAS oncogene family(Rab32)
ENSMUSG00000105504	guanylate binding protein 5(Gbp5)
ENSMUSG00000046879	immunity-related GTPase family M member 1(Irgm1)
ENSMUSG00000038352	ADP-ribosylation factor-like 5C(Arl5c)
ENSMUSG00000029204	ras homolog family member H(Rhoh)
ENSMUSG00000028268	guanylate binding protein 3(Gbp3)
ENSMUSG00000034936	ADP-ribosylation factor-like 4D(Arl4d)

Gene Group 24	Enrichment Score: 2.4404312392686998
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000006219	filamin binding LIM protein 1(Fblim1)
ENSMUSG00000023348	thyroid hormone receptor interactor 6(Trip6)
ENSMUSG00000024696	leupaxin(Lpxn)
ENSMUSG00000022439	parvin, gamma(Parvg)

Gene Group 25	Enrichment Score: 2.043629547661177
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000073940	hemoglobin, beta adult t chain(Hbb-bt)
ENSMUSG00000069919	hemoglobin alpha, adult chain 1(Hba-a1)
ENSMUSG00000018893	myoglobin(Mb)
ENSMUSG00000052305	hemoglobin, beta adult s chain(Hbb-bs)

Gene Group 26	Enrichment Score: 1.85352891049178
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000023047	anti-Mullerian hormone type 2 receptor(Amhr2)
ENSMUSG00000028874	FGR proto-oncogene, Src family tyrosine kinase(Fgr)
ENSMUSG00000019970	serum/glucocorticoid regulated kinase 1(Sgk1)
ENSMUSG00000040424	homeodomain interacting protein kinase 4(Hipk4)
ENSMUSG00000014361	c-mer proto-oncogene tyrosine kinase(Mertk)
ENSMUSG00000042228	LYN proto-oncogene, Src family tyrosine kinase(Lyn)
ENSMUSG00000024558	mitogen-activated protein kinase 4(Mapk4)
ENSMUSG00000003283	hemopoietic cell kinase(Hck)
ENSMUSG00000028862	mitogen-activated protein kinase kinase kinase 6(Map3k6)
ENSMUSG00000024042	salt inducible kinase 1(Sik1)
ENSMUSG00000009772	NUAK family, SNF1-like kinase, 2(Nuak2)
ENSMUSG00000029217	tec protein tyrosine kinase(Tec)
ENSMUSG00000053158	feline sarcoma oncogene(Fes)
ENSMUSG00000031264	Bruton agammaglobulinemia tyrosine kinase(Btk)
ENSMUSG00000022836	myosin, light polypeptide kinase(Mylk)
ENSMUSG00000030409	dystrophia myotonica-protein kinase(Dmpk)
ENSMUSG00000025915	serum/glucocorticoid regulated kinase 3(Sgk3)
ENSMUSG00000022033	PDZ binding kinase(Pbk)
ENSMUSG00000021457	spleen tyrosine kinase(Syk)
ENSMUSG00000021948	protein kinase C, delta(Prkcd)
ENSMUSG00000026749	NIMA (never in mitosis gene a)-related expressed kinase 6(Nek6)

Gene Group 27	Enrichment Score: 1.6138246782633845
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000036198	Rho GTPase activating protein 36(Arhgap36)
ENSMUSG00000048865	Rho GTPase activating protein 30(Arhgap30)
ENSMUSG00000033450	T cell activation Rho GTPase activating protein(Tagap)
ENSMUSG00000030047	Rho GTPase activating protein 25(Arhgap25)
ENSMUSG00000035697	histocompatibility (minor) HA-1(Hmha1)
ENSMUSG00000021697	DEP domain containing 1B(Depdc1b)

Gene Group 28	Enrichment Score: 1.6021432099306494
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000030107	ubiquitin specific peptidase 18(Usp18)
ENSMUSG00000043415	OTU domain containing 1(Otud1)
ENSMUSG00000032010	ubiquitin specific peptidase 2(Usp2)
ENSMUSG00000038695	Josephin domain containing 2(Josd2)

Gene Group 29	Enrichment Score: 1.601798461328453
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000020932	glial fibrillary acidic protein(Gfap)
ENSMUSG00000026208	desmin(Des)
ENSMUSG00000004891	nestin(Nes)
ENSMUSG00000026728	vimentin(Vim)
ENSMUSG00000022054	neurofilament, medium polypeptide(Nefm)

Gene Group 30	Enrichment Score: 1.425182496976343
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000057003	myosin, heavy polypeptide 4, skeletal muscle(Myh4)
ENSMUSG00000020437	myosin IG(Myo1g)
ENSMUSG00000024300	myosin IF(Myo1f)
ENSMUSG00000033196	myosin, heavy polypeptide 2, skeletal muscle, adult(Myh2)
ENSMUSG00000056328	myosin, heavy polypeptide 1, skeletal muscle, adult(Myh1)
ENSMUSG00000030761	myosin VIIA(Myo7a)

Gene Group 31	Enrichment Score: 1.1377603974154207
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000090659	zinc finger protein 493(Zfp493)
ENSMUSG00000016087	Friend leukemia integration 1(Fli1)
ENSMUSG00000034041	lymphoblastomic leukemia 1(Lyl1)
ENSMUSG00000026380	transcription factor CP2-like 1(Tfcp2l1)
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3(Batf3)
ENSMUSG00000035576	l(3)mbt-like (Drosophila)(L3mbtl1)
ENSMUSG00000030921	tripartite motif-containing 30A(Trim30a)
ENSMUSG00000078486	PPARGC1 and ESRR induced regulator, muscle 1(Perm1)
ENSMUSG00000035686	thyroid hormone responsive(Thrsp)
ENSMUSG00000060257	scratch family zinc finger 2(Scrt2)
ENSMUSG00000029771	interferon regulatory factor 5(Irf5)
ENSMUSG00000037638	zinc finger and BTB domain containing 42(Zbtb42)
ENSMUSG00000029723	TSC22 domain family, member 4(Tsc22d4)
ENSMUSG00000025997	IKAROS family zinc finger 2(Ikzf2)
ENSMUSG00000018654	IKAROS family zinc finger 1(Ikzf1)
ENSMUSG00000030717	nuclear protein transcription regulator 1(Nupr1)
ENSMUSG00000031103	E74-like factor 4 (ets domain transcription factor)(Elf4)
ENSMUSG00000003032	Kruppel-like factor 4 (gut)(Klf4)
ENSMUSG00000052942	GLIS family zinc finger 3(Glis3)
ENSMUSG00000037868	early growth response 2(Egr2)
ENSMUSG00000026222	nuclear antigen Sp100(Sp100)
ENSMUSG00000071637	CCAAT/enhancer binding protein (C/EBP), delta(Cebpd)
ENSMUSG00000038418	early growth response 1(Egr1)
ENSMUSG00000056501	CCAAT/enhancer binding protein (C/EBP), beta(Cebpb)
ENSMUSG00000025498	interferon regulatory factor 7(Irf7)
ENSMUSG00000034957	CCAAT/enhancer binding protein (C/EBP), alpha(Cebpa)
ENSMUSG00000030087	Kruppel-like factor 15(Klf15)
ENSMUSG00000068245	PHD finger protein 11D(Phf11d)
ENSMUSG00000037447	AT rich interactive domain 5A (MRF1-like)(Arid5a)
ENSMUSG00000038539	activating transcription factor 5(Atf5)
ENSMUSG00000032515	cysteine-serine-rich nuclear protein 1(Csrnp1)
ENSMUSG00000034422	poly (ADP-ribose) polymerase family, member 14(Parp14)
ENSMUSG00000040187	aryl hydrocarbon receptor nuclear translocator-like 2(Arntl2)
ENSMUSG00000002325	interferon regulatory factor 9(Irf9)
ENSMUSG00000060284	Sp7 transcription factor 7(Sp7)
ENSMUSG00000002111	spleen focus forming virus (SFFV) proviral integration oncogene(Spi1)
ENSMUSG00000052837	jun B proto-oncogene(Junb)
ENSMUSG00000041515	interferon regulatory factor 8(Irf8)
ENSMUSG00000026628	activating transcription factor 3(Atf3)
ENSMUSG00000018143	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)(Mafk)
ENSMUSG00000029135	fos-like antigen 2(Fosl2)
ENSMUSG00000074622	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)(Mafb)
ENSMUSG00000042622	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)(Maff)
ENSMUSG00000037621	atonal bHLH transcription factor 8(Atoh8)
ENSMUSG00000003545	FBJ osteosarcoma oncogene B(Fosb)
ENSMUSG00000027186	E74-like factor 5(Elf5)
ENSMUSG00000025316	BTG3 associated nuclear protein(Banp)
ENSMUSG00000004328	hypoxia inducible factor 3, alpha subunit(Hif3a)
ENSMUSG00000002249	TEA domain family member 3(Tead3)
ENSMUSG00000055320	TEA domain family member 1(Tead1)
ENSMUSG00000041390	MyoD family inhibitor domain containing(Mdfic)
ENSMUSG00000042918	MEF2 activating motif and SAP domain containing transcriptional regulator(Mamstr)
ENSMUSG00000085795	zinc finger protein 703(Zfp703)
ENSMUSG00000000078	Kruppel-like factor 6(Klf6)

Gene Group 32	Enrichment Score: 0.6699927873269207
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000030921	tripartite motif-containing 30A(Trim30a)
ENSMUSG00000030966	tripartite motif-containing 21(Trim21)
ENSMUSG00000000275	tripartite motif-containing 25(Trim25)
ENSMUSG00000070327	ring finger protein 213(Rnf213)
ENSMUSG00000033107	ring finger protein 125(Rnf125)
ENSMUSG00000057596	tripartite motif-containing 30D(Trim30d)
ENSMUSG00000047180	neuralized E3 ubiquitin protein ligase 3(Neurl3)
ENSMUSG00000033949	tripartite motif-containing 36(Trim36)

Gene Group 33	Enrichment Score: 0.4102449121915984
ENSEMBL_GENE_ID	Gene Name
ENSMUSG00000035187	NK6 homeobox 1(Nkx6-1)
ENSMUSG00000038227	homeobox A9(Hoxa9)
ENSMUSG00000058669	NK2 homeobox 9(Nkx2-9)
ENSMUSG00000024986	hematopoietically expressed homeobox(Hhex)
ENSMUSG00000022485	homeobox C5(Hoxc5)
ENSMUSG00000026468	LIM homeobox protein 4(Lhx4)
ENSMUSG00000001566	motor neuron and pancreas homeobox 1(Mnx1)
ENSMUSG00000039377	H2.0-like homeobox(Hlx)
ENSMUSG00000032318	insulin related protein 2 (islet 2)(Isl2)
ENSMUSG00000000938	homeobox A10(Hoxa10)
ENSMUSG00000043342	homeobox D9(Hoxd9)
ENSMUSG00000034460	sine oculis-related homeobox 4(Six4)
ENSMUSG00000026630	basic leucine zipper transcription factor, ATF-like 3(Batf3)
